,id,label
0,0,3
1,1,1
2,2,2
3,3,0
4,4,3
5,5,5
6,6,7
7,7,3
8,8,3
9,9,5
10,10,8
11,11,0
12,12,4
13,13,9
14,14,5
15,15,0
16,16,9
17,17,6
18,18,2
19,19,3
20,20,6
21,21,4
22,22,3
23,23,3
24,24,9
25,25,9
26,26,3
27,27,3
28,28,3
29,29,0
30,30,3
31,31,4
32,32,5
33,33,3
34,34,7
35,35,3
36,36,1
37,37,8
38,38,0
39,39,5
40,40,6
41,41,0
42,42,3
43,43,0
44,44,2
45,45,3
46,46,6
47,47,2
48,48,4
49,49,3
50,50,9
51,51,4
52,52,5
53,53,6
54,54,8
55,55,4
56,56,2
57,57,5
58,58,1
59,59,3
60,60,2
61,61,7
62,62,4
63,63,7
64,64,0
65,65,3
66,66,0
67,67,2
68,68,1
69,69,1
70,70,4
71,71,1
72,72,3
73,73,0
74,74,9
75,75,9
76,76,5
77,77,5
78,78,5
79,79,8
80,80,3
81,81,4
82,82,5
83,83,9
84,84,0
85,85,7
86,86,2
87,87,0
88,88,0
89,89,1
90,90,5
91,91,0
92,92,2
93,93,8
94,94,6
95,95,4
96,96,1
97,97,1
98,98,7
99,99,3
100,100,0
101,101,8
102,102,9
103,103,4
104,104,4
105,105,2
106,106,3
107,107,3
108,108,7
109,109,9
110,110,0
111,111,1
112,112,2
113,113,2
114,114,3
115,115,0
116,116,5
117,117,7
118,118,8
119,119,0
120,120,7
121,121,7
122,122,2
123,123,5
124,124,5
125,125,3
126,126,3
127,127,1
128,128,3
129,129,0
130,130,5
131,131,5
132,132,5
133,133,9
134,134,3
135,135,5
136,136,0
137,137,3
138,138,5
139,139,0
140,140,9
141,141,5
142,142,8
143,143,8
144,144,3
145,145,8
146,146,1
147,147,7
148,148,5
149,149,9
150,150,9
151,151,1
152,152,1
153,153,8
154,154,8
155,155,1
156,156,0
157,157,9
158,158,2
159,159,8
160,160,6
161,161,3
162,162,4
163,163,5
164,164,3
165,165,0
166,166,2
167,167,4
168,168,5
169,169,0
170,170,0
171,171,3
172,172,2
173,173,5
174,174,2
175,175,1
176,176,9
177,177,4
178,178,0
179,179,4
180,180,5
181,181,5
182,182,9
183,183,0
184,184,1
185,185,3
186,186,0
187,187,0
188,188,4
189,189,2
190,190,8
191,191,5
192,192,0
193,193,5
194,194,2
195,195,9
196,196,5
197,197,2
198,198,5
199,199,4
200,200,5
201,201,6
202,202,4
203,203,5
204,204,3
205,205,0
206,206,4
207,207,1
208,208,3
209,209,6
210,210,1
211,211,1
212,212,4
213,213,2
214,214,0
215,215,1
216,216,1
217,217,5
218,218,9
219,219,5
220,220,3
221,221,3
222,222,5
223,223,6
224,224,0
225,225,1
226,226,8
227,227,8
228,228,1
229,229,1
230,230,2
231,231,5
232,232,3
233,233,2
234,234,0
235,235,0
236,236,4
237,237,4
238,238,8
239,239,5
240,240,0
241,241,4
242,242,0
243,243,9
244,244,1
245,245,5
246,246,5
247,247,9
248,248,0
249,249,2
250,250,9
251,251,6
252,252,5
253,253,0
254,254,0
255,255,1
256,256,3
257,257,9
258,258,9
259,259,5
260,260,1
261,261,2
262,262,0
263,263,2
264,264,4
265,265,2
266,266,8
267,267,9
268,268,5
269,269,9
270,270,6
271,271,4
272,272,2
273,273,3
274,274,2
275,275,8
276,276,0
277,277,6
278,278,0
279,279,5
280,280,0
281,281,0
282,282,8
283,283,5
284,284,1
285,285,7
286,286,3
287,287,1
288,288,5
289,289,1
290,290,4
291,291,1
292,292,4
293,293,3
294,294,7
295,295,8
296,296,3
297,297,7
298,298,2
299,299,0
300,300,0
301,301,9
302,302,8
303,303,4
304,304,2
305,305,8
306,306,6
307,307,4
308,308,1
309,309,4
310,310,0
311,311,7
312,312,3
313,313,3
314,314,8
315,315,3
316,316,5
317,317,8
318,318,0
319,319,1
320,320,5
321,321,5
322,322,0
323,323,0
324,324,1
325,325,7
326,326,2
327,327,9
328,328,5
329,329,1
330,330,7
331,331,1
332,332,0
333,333,3
334,334,3
335,335,3
336,336,5
337,337,5
338,338,8
339,339,5
340,340,3
341,341,9
342,342,3
343,343,8
344,344,5
345,345,1
346,346,3
347,347,1
348,348,3
349,349,4
350,350,8
351,351,4
352,352,7
353,353,5
354,354,0
355,355,9
356,356,8
357,357,5
358,358,0
359,359,8
360,360,4
361,361,2
362,362,7
363,363,2
364,364,9
365,365,8
366,366,0
367,367,4
368,368,8
369,369,2
370,370,6
371,371,9
372,372,7
373,373,3
374,374,5
375,375,0
